filename,text,up_votes,down_votes,age,gender,accent,duration,generated_text
cv-valid-dev/sample-000000.mp3,be careful with your prognostications said the stranger,1,0,,,,5.064,be careful with your prognostications said the stranger
cv-valid-dev/sample-000001.mp3,then why should they be surprised when they see one,2,0,,,,3.576,then why should they be surprised when they see one
cv-valid-dev/sample-000002.mp3,a young arab also loaded down with baggage entered and greeted the englishman,2,0,,,,5.976,a young arab also loaded down with baggage entered and greeted the englishman
cv-valid-dev/sample-000003.mp3,i thought that everything i owned would be destroyed,3,0,,,,4.464,i felt that everything i owned would be destroyed
cv-valid-dev/sample-000004.mp3,he moved about invisible but everyone could hear him,1,0,fourties,female,england,4.536,he moved about invisible but every one could hear him
cv-valid-dev/sample-000005.mp3,but everything had changed,3,0,teens,male,us,2.136,but everything had changed
cv-valid-dev/sample-000006.mp3,are you sure this is claire,2,0,,,,3.144,are you sure dis is claire
cv-valid-dev/sample-000007.mp3,it had told him to dig where his tears fell,1,0,,,,3.336,it had told him to dig where his tears fell
cv-valid-dev/sample-000008.mp3,the shop folks were taking down their shutters and people were opening their bedroom windows,1,0,twenties,female,canada,5.616,the shop folks were taking down their shutters and people were opening their bedroom windows
cv-valid-dev/sample-000009.mp3,the teacher thought that he'd taught himself all he could,1,0,fifties,female,australia,5.136,the teacher thought that he taught himself all he could
cv-valid-dev/sample-000010.mp3,the boy stepped closer to the girl and when she smiled he did the same,1,0,,,,4.464,the boy stepped closer to the girl and when she smiled he did the same
cv-valid-dev/sample-000011.mp3,you haven't seen anything yet,2,0,,,,2.88,you haven't seen anything yet
cv-valid-dev/sample-000012.mp3,but i found it difficult to get to work because of the investigations,2,0,,,,4.728,but i found it difficult to get to work because of the investigations
cv-valid-dev/sample-000013.mp3,in those days very few of the people had any idea about astronomy,5,0,twenties,male,us,4.92,in those days very few of the people had any idea about astronomy
cv-valid-dev/sample-000014.mp3,when i'm eating that's all i think about,7,1,,,,5.304,when i'm eating that's all i think about
cv-valid-dev/sample-000015.mp3,got anything new on the hanging,1,0,,,,2.064,got anything you only hanging
cv-valid-dev/sample-000016.mp3,is that what you want me to tell vincent,2,0,,,,5.184,is that what you want me to tell vincent
cv-valid-dev/sample-000017.mp3,one of us is going to jail,1,0,,,,5.496,one of us is going to jail
cv-valid-dev/sample-000018.mp3,to nourish the falcon,9,0,,,,2.76,to rourish the falcon
cv-valid-dev/sample-000019.mp3,this convention's gonna cost plenty,1,0,,,,3.336,thees convention's going to cost plenty
cv-valid-dev/sample-000020.mp3,coming home a party of tourists passed us singing and playing music,1,0,twenties,male,england,4.632,coming home a party of tourists passed us singing and playing music
cv-valid-dev/sample-000021.mp3,next install an extension that makes it possible to add custom python commands,1,0,twenties,female,england,6.96,next in stell an extension that makes it possible to add custom fight and commands
cv-valid-dev/sample-000022.mp3,the boy had met the alchemist,3,0,twenties,female,us,3.504,the boy had met the alconist
cv-valid-dev/sample-000023.mp3,it was starlight and i explained the signs of the zodiac to her,3,0,,,,10.08,it was starlight and i explained the signs of de sodiac to her
cv-valid-dev/sample-000024.mp3,so you won't blame her,2,0,,,,2.52,though you won't blame her
cv-valid-dev/sample-000025.mp3,but that's why you created the game in the first place the boy answered,1,0,,,,8.472,but that's why you created the game in the first place the boy answered
cv-valid-dev/sample-000026.mp3,don't say that again,1,0,,,,2.16,don't say that again
cv-valid-dev/sample-000027.mp3,he had seen the shooting star and was persuaded that a meteorite lay somewhere nearby,2,1,,,,9.384,he had seen this shooting star and was persuaded that a meteorite lay somewhere near by
cv-valid-dev/sample-000028.mp3,it turned out to be a bitter tea,3,0,,,,3.384,it turned out to be a bitter tea
cv-valid-dev/sample-000029.mp3,are you gonna throw a rock,1,0,twenties,male,canada,2.184,a ginto throw a rock
cv-valid-dev/sample-000030.mp3,among these people were a couple of cyclists a gardener i employed sometimes and a girl carrying a baby,2,1,twenties,male,indian,9.024,among these people were a couple of cyclists a gardener i employed sometimes and a girl carrying a baby
cv-valid-dev/sample-000031.mp3,my tax dollars pay for those public school proms,3,0,,,,4.2,might tax dollars pay for those public school prams
cv-valid-dev/sample-000032.mp3,they looked for the fallen mass but found nothing,3,0,,,,3.288,they looked for the fallen mass but found nothing
cv-valid-dev/sample-000033.mp3,i was just in town earlier this year so it is kind of crazy to think about what took place right after,1,0,,,,6.984,i was just in town earlier this year so it is kind of crazy to think about what took place right after
cv-valid-dev/sample-000034.mp3,i want to see that map covered before we get through,1,0,fifties,male,us,4.776,it want to see that map covered before we get through
cv-valid-dev/sample-000035.mp3,it made me very depressed,1,0,,,,3.504,it made me very depressed
cv-valid-dev/sample-000036.mp3,its important to keep an open mind and she has urged me to do the same,2,0,,,,6.504,it's important to keep an open mind and she has urged me to do the same
cv-valid-dev/sample-000037.mp3,mine's in the door,1,0,,,,3.864,mines in the door
cv-valid-dev/sample-000038.mp3,from this perspective you can see the concentric circles,1,0,,,,4.08,from this perspective you can see the concentric circles
cv-valid-dev/sample-000039.mp3,he must be disguised to avoid encounters with thieves,1,0,,,,11.544,you must be disguised to avoid in contast with khivs
cv-valid-dev/sample-000040.mp3,ogilvy watched till one and then gave up,4,0,,,,5.568,ogolvi watched till won and then gave up
cv-valid-dev/sample-000041.mp3,i don't know where to go,3,0,thirties,male,canada,2.64,i don't know where to go
cv-valid-dev/sample-000042.mp3,his speech ended in standing ovations,1,0,,,,3.288,his speech ended in standing ovation
cv-valid-dev/sample-000043.mp3,in a way so am i he said,3,0,,,,2.976,in her way so am i he said
cv-valid-dev/sample-000044.mp3,when the sun sets the men will once again surrender their arms to me,1,0,,,,5.76,when the sun sets the man will once again surrender the armsh to me
cv-valid-dev/sample-000045.mp3,i was scared but wasted no time in going out and crossing the bridge to the sand pits,3,0,fourties,male,us,5.184,i was scared but wasted no time in going out and crossing the bridge to the sand
cv-valid-dev/sample-000046.mp3,we must be good,3,0,twenties,male,us,1.944,we must be good
cv-valid-dev/sample-000047.mp3,he almost began to tell about his treasure but decided not to do so,1,0,,,,5.784,he almost began to ten about his treasure but decided not to do so
cv-valid-dev/sample-000048.mp3,not even the tribal chieftains are able to see him when they want to,2,0,,,,6.744,not even the tribel chieftains are able to see him when they want to
cv-valid-dev/sample-000049.mp3,why didn't you tell me,1,0,,,,1.944,why didn't you tell me
cv-valid-dev/sample-000050.mp3,they could barely see the boy,3,0,,,,2.016,they could barely see the boy
cv-valid-dev/sample-000051.mp3,our generator has been disrupted by ultra high frequency waves,1,0,,,,4.272,our generator has been disrupted by ultrahigh frequency waves
cv-valid-dev/sample-000052.mp3,he needed someone to talk to so as to avoid thinking about the possibility of war,2,0,fourties,male,england,5.64,he needed some one to talk to so as to avoid thinking about the possibility of wall
cv-valid-dev/sample-000053.mp3,almost everyone here speaks spanish,1,0,fourties,female,england,3.048,almost every one here speaks spanish
cv-valid-dev/sample-000054.mp3,the report was largely scathing,1,0,fifties,male,england,2.856,the report was largely scathing
cv-valid-dev/sample-000055.mp3,no one attacks an oasis,2,0,,,,2.4,no one attacks an oasis
cv-valid-dev/sample-000056.mp3,where's the old goat,1,0,twenties,male,england,2.736,where's the old goat
cv-valid-dev/sample-000057.mp3,before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war,3,1,sixties,female,canada,9.648,before guns were invented armies had to throw bullets at each other and obll et touched you if you had to sit out until the next war
cv-valid-dev/sample-000058.mp3,it was the time of day when all of spain slept during the summer,2,0,twenties,male,england,4.008,it was the time of day when all of spain slept during the summer
cv-valid-dev/sample-000059.mp3,there were mountains in the distance,7,0,fifties,male,us,2.856,there were mountains in the distance
cv-valid-dev/sample-000060.mp3,excuse you for what,1,0,fourties,male,england,2.688,excuse you for what
cv-valid-dev/sample-000061.mp3,yesterday i waited forever for the subway train,1,0,fifties,male,us,3.984,yesterday i waited forever for the subway train
cv-valid-dev/sample-000062.mp3,i'll go right after it,1,0,,,,2.952,i'll go right after it
cv-valid-dev/sample-000063.mp3,just make yourselves at home,1,0,,,,3.696,just make yourselves at home
cv-valid-dev/sample-000064.mp3,and you've told me about omens,2,0,,,,2.424,and you've told me about omonds
